version,run,backend,bytes,concurrency,requests,qps,p50_us,p99_us
after,1,Tokio,4096,1,250,51905,15,17
after,1,MonoioFacade,4096,1,250,33143,25,54
after,1,MonoioNative,4096,1,250,67671,12,14
after,1,MonoioNative,4096,1,250,68687,12,13
after,1,MonoioFacade,4096,1,250,43084,20,26
after,1,Tokio,4096,1,250,78974,10,11
after,1,Tokio,4096,1,250,79249,10,11
after,1,MonoioFacade,4096,1,250,43200,20,24
after,1,MonoioNative,4096,1,250,68191,12,14
after,1,Tokio,4096,64,16000,83399,671,863
after,1,MonoioFacade,4096,64,16000,21500,3208,3627
after,1,MonoioNative,4096,64,16000,70661,881,1098
after,1,MonoioNative,4096,64,16000,71397,879,911
after,1,MonoioFacade,4096,64,16000,21417,3225,3476
after,1,Tokio,4096,64,16000,84912,712,1009
after,1,Tokio,4096,64,16000,84271,709,933
after,1,MonoioFacade,4096,64,16000,20701,3257,3984
after,1,MonoioNative,4096,64,16000,70789,883,956
after,1,Tokio,65536,1,250,17859,20,26
after,1,MonoioFacade,65536,1,250,14985,31,36
after,1,MonoioNative,65536,1,250,17432,22,26
after,1,MonoioNative,65536,1,250,17437,22,25
after,1,MonoioFacade,65536,1,250,15036,31,35
after,1,Tokio,65536,1,250,17392,20,31
after,1,Tokio,65536,1,250,17809,20,27
after,1,MonoioFacade,65536,1,250,15001,31,36
after,1,MonoioNative,65536,1,250,17430,22,25
after,1,Tokio,65536,64,16000,17603,3454,4912
after,1,MonoioFacade,65536,64,16000,10119,6612,8099
after,1,MonoioNative,65536,64,16000,15704,4013,4544
after,1,MonoioNative,65536,64,16000,15376,4013,4829
after,1,MonoioFacade,65536,64,16000,9372,6868,9181
after,1,Tokio,65536,64,16000,16855,3485,5456
after,1,Tokio,65536,64,16000,16469,3539,5531
after,1,MonoioFacade,65536,64,16000,9408,6831,9318
after,1,MonoioNative,65536,64,16000,15465,4016,4826
after,2,Tokio,4096,1,250,54000,14,16
after,2,MonoioFacade,4096,1,250,32464,27,39
after,2,MonoioNative,4096,1,250,65310,12,14
after,2,MonoioNative,4096,1,250,65878,12,15
after,2,MonoioFacade,4096,1,250,43436,20,23
after,2,Tokio,4096,1,250,76075,10,11
after,2,Tokio,4096,1,250,78910,10,11
after,2,MonoioFacade,4096,1,250,43579,20,23
after,2,MonoioNative,4096,1,250,67082,12,13
after,2,Tokio,4096,64,16000,83219,712,981
after,2,MonoioFacade,4096,64,16000,21075,3214,3814
after,2,MonoioNative,4096,64,16000,70543,886,1045
after,2,MonoioNative,4096,64,16000,70764,881,1003
after,2,MonoioFacade,4096,64,16000,21130,3239,3970
after,2,Tokio,4096,64,16000,84021,718,1041
after,2,Tokio,4096,64,16000,77916,713,987
after,2,MonoioFacade,4096,64,16000,19256,3373,4225
after,2,MonoioNative,4096,64,16000,67223,900,1150
after,2,Tokio,65536,1,250,18009,20,22
after,2,MonoioFacade,65536,1,250,14495,31,40
after,2,MonoioNative,65536,1,250,15556,23,33
after,2,MonoioNative,65536,1,250,17397,22,25
after,2,MonoioFacade,65536,1,250,15147,31,35
after,2,Tokio,65536,1,250,17547,22,30
after,2,Tokio,65536,1,250,17381,20,25
after,2,MonoioFacade,65536,1,250,12558,38,43
after,2,MonoioNative,65536,1,250,17402,22,24
after,2,Tokio,65536,64,16000,16466,3499,5591
after,2,MonoioFacade,65536,64,16000,9963,6642,8285
after,2,MonoioNative,65536,64,16000,15707,4010,4578
after,2,MonoioNative,65536,64,16000,15754,4006,4424
after,2,MonoioFacade,65536,64,16000,10171,6487,7928
after,2,Tokio,65536,64,16000,17582,3468,4947
after,2,Tokio,65536,64,16000,17555,3466,4946
after,2,MonoioFacade,65536,64,16000,10052,6620,8170
after,2,MonoioNative,65536,64,16000,15746,4013,4264
before,0,Tokio,4096,1,250,32148,16,94
before,0,MonoioFacade,4096,1,250,26160,34,43
before,0,MonoioNative,4096,1,250,41224,20,27
before,0,MonoioNative,4096,1,250,41249,20,28
before,0,MonoioFacade,4096,1,250,26165,34,41
before,0,Tokio,4096,1,250,47527,16,21
before,0,Tokio,4096,1,250,49241,16,17
before,0,MonoioFacade,4096,1,250,26063,34,43
before,0,MonoioNative,4096,1,250,41566,20,22
before,0,Tokio,4096,64,16000,51757,1115,1533
before,0,MonoioFacade,4096,64,16000,13822,4967,5406
before,0,MonoioNative,4096,64,16000,41912,1585,1650
before,0,MonoioNative,4096,64,16000,70504,887,979
before,0,MonoioFacade,4096,64,16000,23423,2940,3159
before,0,Tokio,4096,64,16000,84303,711,979
before,0,Tokio,4096,64,16000,84084,710,1282
before,0,MonoioFacade,4096,64,16000,23268,2950,3360
before,0,MonoioNative,4096,64,16000,70543,876,1108
before,0,Tokio,65536,1,250,18023,20,23
before,0,MonoioFacade,65536,1,250,14925,31,37
before,0,MonoioNative,65536,1,250,17576,22,25
before,0,MonoioNative,65536,1,250,17260,22,26
before,0,MonoioFacade,65536,1,250,15090,31,36
before,0,Tokio,65536,1,250,17574,22,28
before,0,Tokio,65536,1,250,18067,20,22
before,0,MonoioFacade,65536,1,250,15156,31,35
before,0,MonoioNative,65536,1,250,17583,22,25
before,0,Tokio,65536,64,16000,17641,3453,4939
before,0,MonoioFacade,65536,64,16000,10819,6017,7730
before,0,MonoioNative,65536,64,16000,16372,3851,4270
before,0,MonoioNative,65536,64,16000,16090,3851,4646
before,0,MonoioFacade,65536,64,16000,10626,6152,8402
