backend,bytes,concurrency,requests,qps,p50_us,p99_us
Tokio,4096,1,1000,44406,16,43
MonoioFacade,4096,1,1000,14349,62,109
MonoioNative,4096,1,1000,26905,29,61
MonoioNative,4096,1,1000,25342,30,57
MonoioFacade,4096,1,1000,13758,60,151
Tokio,4096,1,1000,49357,16,18
Tokio,4096,1,1000,40499,20,44
MonoioFacade,4096,1,1000,14020,62,131
MonoioNative,4096,1,1000,27096,30,48
Tokio,4096,64,64000,113287,552,901
MonoioFacade,4096,64,64000,25605,2358,4654
MonoioNative,4096,64,64000,71555,886,1051
MonoioNative,4096,64,64000,72604,870,1064
MonoioFacade,4096,64,64000,26551,2409,4260
Tokio,4096,64,64000,114153,550,882
Tokio,4096,64,64000,110350,568,916
MonoioFacade,4096,64,64000,25525,2453,4623
MonoioNative,4096,64,64000,72075,876,1072
Tokio,65536,1,1000,11216,32,37
MonoioFacade,65536,1,1000,4089,114,604
MonoioNative,65536,1,1000,8177,57,231
MonoioNative,65536,1,1000,7702,55,337
MonoioFacade,65536,1,1000,3663,174,599
Tokio,65536,1,1000,10789,33,52
Tokio,65536,1,1000,10683,33,84
MonoioFacade,65536,1,1000,3162,228,701
MonoioNative,65536,1,1000,8571,54,189
Tokio,65536,64,64000,36474,1685,2722
MonoioFacade,65536,64,64000,18071,3465,5910
MonoioNative,65536,64,64000,12493,4362,6910
MonoioNative,65536,64,64000,14855,4146,4970
MonoioFacade,65536,64,64000,22291,2632,6208
Tokio,65536,64,64000,36577,1680,2705
Tokio,65536,64,64000,36726,1670,2741
MonoioFacade,65536,64,64000,17545,3532,6488
MonoioNative,65536,64,64000,15571,3768,5220
